datahora;Cap-SP;Cases-SP;ICU-SP;Corrected-SP;Accum Corrected-SP;Ratio-SP
2020-09-10;8376;5253.714285714285;4933.162857142857;39928.22857142857;355251.14285714284;0.01414245834478925
2020-09-11;8376;5399.0;4893.958571428571;41032.4;343293.08571428567;0.01455234490773553
2020-09-12;8376;5372.142857142857;4852.51;40828.28571428571;328030.1142857143;0.015131653293454466
2020-09-13;8376;5219.285714285715;4810.182857142857;39666.57142857143;310894.2857142857;0.01585191764114319
2020-09-14;8376;5145.571428571428;4767.121428571429;39106.34285714285;292470.8;0.016720124413327098
2020-09-15;8376;6069.714285714285;4723.55;46129.82857142857;290386.22857142857;0.016702092860815657
2020-09-16;8376;6121.714285714285;4679.407142857142;46525.028571428564;293216.6857142857;0.0163993263573496
2020-09-17;8376;6009.571428571428;4635.2242857142855;45672.74285714285;298961.2;0.015941846197392022
2020-09-18;8376;5960.428571428572;4588.938571428572;45299.25714285714;303228.0571428571;0.015573820009170979
2020-09-19;8376;5854.714285714285;4542.611428571429;44495.82857142857;306895.6;0.015243450734333348
2020-09-20;8376;6149.0;4495.938571428572;46732.399999999994;313961.4285714285;0.014757404880750334
2020-09-21;8376;6283.285714285715;4448.428571428572;47752.97142857143;322608.0571428571;0.014220749500113705
2020-09-22;8376;6307.285714285715;4402.285714285715;47935.37142857143;324413.6;0.01400013276073431
2020-09-23;8376;6077.857142857143;4356.387142857143;46191.71428571428;324080.2857142857;0.013872142037869935
2020-09-24;8376;5917.0;4308.407142857142;44969.2;323376.7428571428;0.013757945461780337
2020-09-25;8376;5769.857142857143;4263.345714285714;43850.91428571429;321928.39999999997;0.013675358640401446
2020-09-26;8376;5602.142857142857;4218.202857142857;42576.28571428571;320008.85714285716;0.013612567738877635
2020-09-27;8376;5276.714285714285;4172.61;40103.028571428564;313379.4857142857;0.013753141623664101
2020-09-28;8376;5115.714285714285;4129.752857142857;38879.428571428565;304505.9428571428;0.014004414189510274
2020-09-29;8376;4871.0;4088.4471428571424;37019.6;293590.1714285714;0.014372392797668034
2020-09-30;8376;4807.857142857143;4048.7528571428566;36539.71428571428;283938.1714285714;0.014706178775454017
2020-10-01;8376;4783.571428571428;4014.262857142857;36355.142857142855;275324.1142857143;0.015013668194968074
2020-10-02;8376;4630.285714285715;3982.4471428571424;35190.17142857143;266663.3714285714;0.015350801681845272
2020-10-03;8376;4648.714285714285;3953.7542857142857;35330.22857142857;259417.31428571424;0.0156339532480028
2020-10-04;8376;4523.571428571428;3928.714285714286;34379.142857142855;253693.42857142855;0.015849349906338826
2020-10-05;8376;4491.0;3903.96;34131.6;248945.6;0.016022053797770944
2020-10-06;8376;4474.285714285715;3880.4285714285716;34004.57142857143;245930.57142857142;0.01609764428288123
2020-10-07;8376;4446.714285714285;3859.5514285714285;33795.028571428564;243185.8857142857;0.016168183733541733
2020-10-08;8376;4382.714285714285;3837.2657142857142;33308.62857142857;240139.3714285714;0.016268006167710843
2020-10-09;8376;4408.142857142857;3813.4900000000002;33501.88571428571;238451.08571428567;0.016281964199015293
2020-10-10;8376;4483.857142857143;3789.837142857143;34077.31428571429;237198.1714285714;0.016269245596965062
2020-10-11;8376;4822.571428571428;3764.7957142857144;36651.54285714286;239470.57142857142;0.016017076104447414
2020-10-12;8376;4823.571428571428;3738.325714285714;36659.142857142855;241998.11428571425;0.015752008389743232
2020-10-13;8376;4027.1428571428573;3709.5914285714284;30606.285714285714;238599.82857142854;0.015874072680962976
2020-10-14;8376;4043.5714285714284;3676.7757142857145;30731.142857142855;235535.94285714286;0.01596970788599776
2020-10-15;8376;4172.714285714285;3642.674285714286;31712.628571428566;233939.94285714286;0.015959828761911786
2020-10-16;8376;4150.0;3605.592857142857;31540.0;231978.05714285714;0.015966776695839496
2020-10-17;8376;3974.0;3564.98;30202.399999999998;228103.14285714284;0.016097188937263793
2020-10-18;8376;3706.0;3524.0614285714287;28165.6;219617.19999999998;0.01656258606115643
2020-10-19;8376;3670.714285714286;3483.3057142857147;27897.42857142857;210855.4857142857;0.017078034914482683
2020-10-20;8376;4276.142857142857;3438.9385714285713;32498.68571428571;212747.88571428572;0.016744385689667133
2020-10-21;8376;4028.714285714286;3392.5714285714284;30618.22857142857;212634.9714285714;0.016562336934305047
2020-10-22;8376;3618.0;3344.162857142857;27496.8;208419.14285714284;0.016692744741806594
2020-10-23;8376;3771.5714285714284;3297.4485714285715;28663.942857142854;205543.0857142857;0.016712150286341477
2020-10-24;8376;3803.0;3252.632857142857;28902.8;204243.4857142857;0.016600019856252406
2020-10-25;8376;4054.0;3209.4500000000003;30810.399999999998;206888.2857142857;0.016170569624186414
2020-10-26;8376;4114.857142857143;3168.0214285714283;31272.914285714287;210263.77142857143;0.015696764087805435
2020-10-27;8376;4177.857142857143;3134.7771428571427;31751.714285714286;209516.8;0.015545336620612138
2020-10-28;8376;4331.571428571428;3108.3685714285716;32919.94285714286;211818.51428571428;0.015184738625688345
2020-10-29;8376;4560.142857142857;3088.674285714286;34657.08571428571;218978.8;0.014521544588623491
2020-10-30;8376;4306.714285714285;3072.4500000000003;32731.028571428567;223045.88571428572;0.014112646575038043
2020-10-31;8376;3838.8571428571427;3059.5714285714284;29175.31428571428;223318.4;0.013971923276453746
2020-11-01;8376;3595.285714285714;3046.8771428571426;27324.171428571426;219832.1714285714;0.014087850913800997
2020-11-02;8376;3564.5714285714284;3035.8771428571426;27090.742857142854;215650.0;0.01427352238368104
2020-11-03;8376;2905.285714285714;3022.8771428571426;22080.171428571426;205978.45714285714;0.014866114788069177
2020-11-04;8376;2816.714285714286;3009.692857142857;21407.02857142857;194465.54285714283;0.015673742568275775
2020-11-05;8376;2439.4285714285716;2995.7542857142857;18539.657142857144;178348.11428571428;0.017015759227859993
2020-11-06;8376;1735.4285714285713;2985.7742857142853;13189.257142857141;158806.34285714285;0.019031647427643485
2020-11-07;8376;1401.2857142857142;2978.855714285714;10649.771428571428;140280.8;0.021462776874697616
